TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
35:20.9,1.2320056,1.0855054,0.87923515,0.65789866,0.98538786,0.5415634,0.21971923,0.26927805,0.8318019,0.564168,0.07463769,0.6576742,0.9443303,0.41962516,0.31436542,0.8260382,0.5733421,0.2604763,0.072577834,0.40311593,678.13586,740.44434,744.6927,696.6337,765.40314,770.448,761.5974,1286.7057,-0.113098145,-0.049926758,0.997924805,-1.517791748,-10.79650879,-39.87380981,6.953253701,6.6206117826574165,5.061131535655533,4.260227451541377,0,0,0,0,0,0,0,0,0,0,0,0,106.1813,1,2,1,1,2,57.39,
35:21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:21.9,1.2320056,1.2306042,1.0115019,0.65789866,0.98538786,0.58047247,0.5459039,0.26927805,0.8318019,0.88044107,0.20387115,0.6576742,0.9443303,0.24939603,0.14583513,0.8260382,0.5733421,0.2552686,-0.16048507,0.40311593,678.66693,723.5397,729.38104,686.544,608.3928,574.58344,542.7211,1015.43365,-0.238952637,-0.139526367,0.946716309,-34.49798584,4.91973877,40.95794677734375,6.986731516582028,6.655249267,5.101903058913287,4.289737977731684,0,0,0,0,0,0,0,0,0,0,0,0,104.90589,1,2,1,1,2,57.39,
35:22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:22.9,1.2320056,1.3612698,1.0885786,0.65789866,0.98538786,0.6652792,0.6661106,0.26927805,0.8318019,0.88044107,0.19075516,0.6576742,0.9443303,0.29038128,-0.002475782,0.8260382,0.5733421,0.053183418,-0.50676316,0.40311593,741.8605,729.5581,740.35583,735.93054,680.6141,656.0093,650.43335,1297.1495,-0.346252441,0.157226563,0.880187988,3.342132568359375,1.973876953,-28.56140137,7.0031499892711535,6.633581765729681,5.112370598192785,4.268131511813652,0,0,0,0,0,0,0,0,0,0,0,0,104.29423,1,2,1,1,2,57.39,
35:23.9,1.2320056,1.3612698,1.0885786,0.65789866,0.98538786,0.6652792,0.6661106,0.26927805,0.8318019,0.88044107,0.19075516,0.6576742,0.9443303,0.29038128,-0.002475782,0.8260382,0.5733421,0.053183418,-0.50676316,0.40311593,759.4732,733.9834,728.4075,738.85126,736.01904,728.58453,723.0086,1206.5189,-0.26385498,0.204406738,0.871704102,-8.59085083,-2.609405518,3.843078613,6.977332094,6.589911069785185,5.079350547171161,4.223606322866748,0,0,0,0,0,0,0,0,0,0,0,0,102.82643,1,2,1,1,2,57.37,
35:24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:24.9,1.2320056,-0.21074086,0.4224593,0.65789866,0.98538786,-0.15840013,0.14992426,0.26927805,0.8318019,-0.022979839,0.3361437,0.6576742,0.9443303,-0.10974957,0.12905881,0.8260382,0.5733421,-0.24648196,-0.134044,0.40311593,769.74,744.6042,729.7351,757.8801,709.55566,708.1395,702.2096,1320.3381,-0.29510498,0.284240723,0.89251709,-17.19665527,-8.560943604,24.471588134765625,6.930518084066471,6.5400147819660015,5.021611234294161,4.171360179290942,0,0,0,0,0,0,0,0,0,0,0,0,104.82908,1,2,1,1,2,57.37,
35:24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
35:25.9,1.2320056,0.7711255,0.24977909,0.65789866,0.98538786,0.4464206,-0.040743213,0.26927805,0.8318019,0.16834845,0.19145763,0.6576742,0.9443303,0.084047325,-0.08389066,0.8260382,0.5733421,-0.31906757,-0.0605724,0.40311593,730.1776,732.8328,730.1776,732.03625,774.4308,789.21136,794.7873,1344.5889,-0.368591309,0.116882324,0.885070801,10.40771484,-3.177642822,-12.90496826,6.890967265097871,6.5091614810576255,4.974339461,4.137699258517512,0,0,0,0,0,0,0,0,0,0,0,0,106.031456,1,2,1,1,2,57.37,
